chrom,start,end,mid,strand,lattice_loc,predicted_occupancy
chr1,35388109,35388599,35388354.0,+,5553,0.43613285
chr1,35392442,35392789,35392615.5,+,5570,0.17831966
chr1,35392442,35392789,35392615.5,+,5570,0.17831966
chr1,35465105,35465446,35465275.5,-,5861,0.2161115
chr1,35478288,35478647,35478467.5,-,5913,0.57909906
chr1,35715854,35716428,35716141.0,-,6864,0.49223182
chr1,35715854,35716428,35716141.0,-,6864,0.49223182
chr1,35726552,35727014,35726783.0,+,6907,0.26624352
chr1,35765612,35765943,35765777.5,+,7063,0.1690488
chr1,35765612,35765943,35765777.5,+,7063,0.1690488
chr1,35839399,35839962,35839680.5,+,7358,0.3986848
chr1,35839399,35839962,35839680.5,+,7358,0.3986848
chr1,35846532,35846992,35846762.0,-,7387,0.38401866
chr1,36010208,36010519,36010363.5,-,8041,0.44672754
chr1,36064868,36065264,36065066.0,-,8260,0.07807662
chr1,36134576,36135025,36134800.5,-,8539,0.5487493
chr1,36145102,36145411,36145256.5,+,8581,0.392479
chr1,36149414,36149795,36149604.5,-,8598,0.28441626
chr1,36224697,36225020,36224858.5,+,8899,0.1961733
chr1,36252809,36253222,36253015.5,-,9012,0.5079481
chr1,36254569,36255070,36254819.5,-,9019,0.13977553
chr1,36256181,36256648,36256414.5,+,9025,0.49505502
chr1,36277199,36277668,36277433.5,-,9109,0.60677475
chr1,36279171,36279665,36279418.0,-,9117,0.70591974
chr1,36321730,36322172,36321951.0,-,9287,0.18041278
chr1,36324025,36324431,36324228.0,+,9296,0.2578374
chr1,36454412,36454833,36454622.5,+,9818,0.27782542
chr1,36471503,36472006,36471754.5,-,9887,0.09094413
chr1,36492421,36492822,36492621.5,-,9970,0.12293758
chr1,36501180,36501737,36501458.5,-,10005,0.52321035
chr1,36501180,36501737,36501458.5,-,10005,0.52321035
chr1,36511288,36511832,36511560.0,-,10046,0.1269462
chr1,36513737,36514095,36513916.0,+,10055,0.19527194
chr1,36547049,36547635,36547342.0,+,10189,0.17835136
chr1,36556911,36557595,36557253.0,+,10229,0.31762135
chr1,36556911,36557595,36557253.0,-,10229,0.31762135
chr1,36615968,36616334,36616151.0,-,10464,0.42231253
chr1,36634883,36635386,36635134.5,-,10540,0.30001202
chr1,36664441,36664806,36664623.5,-,10658,0.644764
chr1,36684001,36684901,36684451.0,+,10737,0.1604034
chr1,36684001,36684901,36684451.0,-,10737,0.1604034
chr1,36684001,36684901,36684451.0,+,10737,0.1604034
chr1,36709244,36709545,36709394.5,+,10837,0.33034497
chr1,36709244,36709545,36709394.5,-,10837,0.33034497
chr1,36737311,36737694,36737502.5,+,10950,0.58602023
chr1,36744529,36745006,36744767.5,-,10979,0.46799153
chr1,36746402,36746925,36746663.5,-,10986,0.48859096
chr1,36758536,36758938,36758737.0,+,11034,0.05246094
chr1,36784624,36785050,36784837.0,+,11139,0.7310984
chr1,36784624,36785050,36784837.0,+,11139,0.7310984
chr1,36786292,36786786,36786539.0,+,11146,0.34957978
chr1,36821959,36822292,36822125.5,+,11288,0.2880728
chr1,36824677,36825058,36824867.5,-,11299,0.07516019
chr1,36833081,36833441,36833261.0,-,11333,0.16239394
chr1,36848044,36848435,36848239.5,+,11392,0.18110302
chr1,36848044,36848435,36848239.5,+,11392,0.18110302
chr1,36929997,36930355,36930176.0,+,11720,0.08487535
chr1,37098621,37099063,37098842.0,+,12395,0.16154471
chr1,37098621,37099063,37098842.0,+,12395,0.16154471
chr1,37151901,37152260,37152080.5,-,12608,0.33263817
chr1,37194552,37194915,37194733.5,+,12778,0.36034888
chr1,37250359,37251061,37250710.0,+,13002,0.673773
chr1,37250359,37251061,37250710.0,-,13002,0.673773
chr1,37258434,37258857,37258645.5,+,13034,0.48896173
chr1,37272475,37273314,37272894.5,+,13091,0.5981925
chr1,37272475,37273314,37272894.5,-,13091,0.5981925
chr1,37329098,37329542,37329320.0,+,13317,0.16638632
chr1,37401673,37402105,37401889.0,-,13607,0.26156175
chr1,37419284,37420006,37419645.0,+,13678,0.050471354
chr1,37419284,37420006,37419645.0,+,13678,0.050471354
chr1,37448323,37448784,37448553.5,+,13794,0.5476883
chr1,37466652,37466949,37466800.5,+,13867,0.18505614
chr1,37479077,37479455,37479266.0,+,13917,0.10840229
chr1,37624206,37624532,37624369.0,-,14497,0.12327996
chr1,37634621,37635031,37634826.0,-,14539,0.657175
chr1,37635758,37636559,37636158.5,-,14544,0.28596875
chr1,37635758,37636559,37636158.5,+,14544,0.28596875
chr1,37635758,37636559,37636158.5,-,14544,0.28596875
chr1,37639107,37639646,37639376.5,-,14557,0.23129997
chr1,37653976,37654392,37654184.0,-,14616,0.6906837
chr1,37654572,37654959,37654765.5,-,14619,0.44786236
chr1,37675410,37675822,37675616.0,-,14702,0.10939027
chr1,37678329,37678867,37678598.0,+,14714,0.41385078
chr1,37678329,37678867,37678598.0,+,14714,0.41385078
chr1,37708279,37708677,37708478.0,-,14833,0.36003417
chr1,37719569,37720193,37719881.0,+,14879,0.022363586
chr1,37867074,37867447,37867260.5,-,15469,0.36090463
chr1,37881790,37882072,37881931.0,-,15527,0.19033283
chr1,37881790,37882072,37881931.0,-,15527,0.19033283
chr1,37901751,37902123,37901937.0,+,15607,0.21708032
chr1,37903199,37903564,37903381.5,+,15613,0.2031085
chr1,37931759,37932207,37931983.0,-,15727,0.3537642
chr1,37931759,37932207,37931983.0,+,15727,0.3537642
chr1,37961770,37962080,37961925.0,-,15847,0.27244556
chr1,37965497,37966021,37965759.0,-,15863,0.0049692146
chr1,37965497,37966021,37965759.0,-,15863,0.0049692146
chr1,37985713,37986204,37985958.5,-,15943,0.53603
chr1,38129669,38130336,38130002.5,-,16520,0.4139739
chr1,38185479,38185913,38185696.0,+,16742,0.6372672
chr1,38202714,38203229,38202971.5,+,16811,0.12763812
chr1,38252680,38253131,38252905.5,+,17011,0.6225518
chr1,38307215,38307633,38307424.0,-,17229,0.41472617
chr1,38392941,38393286,38393113.5,+,17572,0.43310145
chr1,38639703,38640030,38639866.5,-,18559,0.089852676
chr1,38654987,38655347,38655167.0,-,18620,0.3667013
chr1,38654987,38655347,38655167.0,+,18620,0.3667013
chr1,38720253,38720717,38720485.0,+,18881,0.21587639
chr1,38767847,38768251,38768049.0,-,19072,0.5298088
chr1,38769836,38770297,38770066.5,-,19080,0.26655346
chr1,38778340,38778655,38778497.5,-,19113,0.2894288
chr1,38787457,38787881,38787669.0,-,19150,0.2142931
chr1,38788909,38789321,38789115.0,+,19156,0.41896865
chr1,38799312,38799798,38799555.0,+,19198,0.22915356
chr1,38799312,38799798,38799555.0,-,19198,0.22915356
chr1,38834828,38835293,38835060.5,+,19340,0.2236038
chr1,38856171,38856605,38856388.0,-,19425,0.5574484
chr1,38862202,38862637,38862419.5,-,19449,0.30445835
chr1,38862202,38862637,38862419.5,+,19449,0.30445835
chr1,38934662,38935060,38934861.0,-,19739,0.46491718
chr1,38934662,38935060,38934861.0,-,19739,0.46491718
chr1,38936754,38937219,38936986.5,-,19747,0.60185504
chr1,39001121,39001488,39001304.5,+,20005,0.4644014
chr1,39001121,39001488,39001304.5,+,20005,0.4644014
chr1,39010663,39011102,39010882.5,+,20043,0.2916885
chr1,39180550,39180888,39180719.0,-,20722,0.3974381
chr1,39196669,39196993,39196831.0,-,20787,0.34597751
chr1,39206882,39207363,39207122.5,+,20828,0.041110605
chr1,39210914,39211294,39211104.0,-,20844,0.40799028
chr1,39210914,39211294,39211104.0,-,20844,0.40799028
chr1,39217575,39218000,39217787.5,+,20871,0.3880087
chr1,39227699,39228003,39227851.0,-,20911,0.36175215
chr1,39229960,39230429,39230194.5,-,20920,0.39535537
chr1,39229960,39230429,39230194.5,-,20920,0.39535537
chr1,39253717,39254228,39253972.5,+,21015,0.37684134
chr1,39253717,39254228,39253972.5,-,21015,0.37684134
chr1,39340656,39341021,39340838.5,-,21363,0.40317404
chr1,39352753,39353099,39352926.0,-,21411,0.40364626
chr1,39362169,39362508,39362338.5,+,21449,0.103170656
chr1,39392121,39392678,39392399.5,+,21569,0.53591657
chr1,39416494,39417294,39416894.0,+,21667,0.48495314
chr1,39416494,39417294,39416894.0,+,21667,0.48495314
chr1,39416494,39417294,39416894.0,-,21667,0.48495314
chr1,39416494,39417294,39416894.0,-,21667,0.48495314
chr1,39429037,39429394,39429215.5,-,21716,0.1587425
chr1,39432102,39432483,39432292.5,-,21729,0.4109582
chr1,39436888,39437216,39437052.0,+,21748,0.3942709
chr1,39497028,39497367,39497197.5,-,21988,0.2423311
chr1,39497028,39497367,39497197.5,-,21988,0.2423311
chr1,39497713,39498218,39497965.5,-,21991,0.27363217
chr1,39497713,39498218,39497965.5,-,21991,0.27363217
chr1,39504314,39504602,39504458.0,-,22017,0.3866956
chr1,39504314,39504602,39504458.0,+,22017,0.3866956
chr1,39522540,39523288,39522914.0,+,22091,0.46424177
chr1,39522540,39523288,39522914.0,-,22091,0.46424177
chr1,39522540,39523288,39522914.0,-,22091,0.46424177
chr1,39527376,39527870,39527623.0,+,22110,0.5800986
chr1,39530233,39530693,39530463.0,-,22121,0.6325529
chr1,39530233,39530693,39530463.0,-,22121,0.6325529
chr1,39540641,39540948,39540794.5,+,22163,0.09459775
chr1,39611506,39611835,39611670.5,+,22446,0.1907376
chr1,39614860,39615306,39615083.0,+,22460,0.3490067
chr1,39614860,39615306,39615083.0,+,22460,0.3490067
chr1,39641630,39642063,39641846.5,+,22567,0.3713084
chr1,39641630,39642063,39641846.5,+,22567,0.3713084
chr1,39650760,39651248,39651004.0,-,22604,0.07288217
chr1,39650760,39651248,39651004.0,+,22604,0.07288217
chr1,39650760,39651248,39651004.0,-,22604,0.07288217
chr1,39664342,39664688,39664515.0,+,22658,0.47943446
chr1,39680507,39680949,39680728.0,-,22722,0.18643884
chr1,39685887,39686186,39686036.5,+,22744,0.1614484
chr1,39710014,39710308,39710161.0,+,22840,0.33271888
chr1,39761336,39761770,39761553.0,+,23046,0.02937858
chr1,39911491,39911905,39911698.0,-,23646,0.20460406
chr1,39911491,39911905,39911698.0,+,23646,0.20460406
chr1,39936510,39936928,39936719.0,-,23746,0.12191066
chr1,39936510,39936928,39936719.0,-,23746,0.12191066
chr1,40000918,40001328,40001123.0,+,24004,0.18728608
chr1,40115242,40115678,40115460.0,+,24461,0.5254038
chr1,40116411,40116797,40116604.0,+,24466,0.45894527
chr1,40290611,40291000,40290805.5,-,25163,0.032640748
chr1,40293899,40294321,40294110.0,-,25176,0.42327815
chr1,40293899,40294321,40294110.0,+,25176,0.42327815
chr1,40378721,40379198,40378959.5,-,25515,0.57565176
chr1,40380066,40380477,40380271.5,+,25521,0.22214317
chr1,40537614,40537912,40537763.0,+,26151,0.10224223
chr1,40544656,40545014,40544835.0,-,26179,0.8452583
chr1,40579749,40580177,40579963.0,+,26319,0.41210255
chr1,40657965,40658339,40658152.0,-,26632,0.13094765
chr1,40768561,40769031,40768796.0,-,27075,0.3069993
chr1,40768561,40769031,40768796.0,+,27075,0.3069993
chr1,40768561,40769031,40768796.0,-,27075,0.3069993
chr1,40797316,40797769,40797542.5,+,27190,0.43042475
chr1,40802765,40803134,40802949.5,+,27211,0.70368004
chr1,40844612,40845049,40844830.5,-,27379,0.6973223
chr1,40879052,40879492,40879272.0,+,27517,0.51666087
chr1,40884824,40885318,40885071.0,+,27540,0.3176761
chr1,40884824,40885318,40885071.0,-,27540,0.3176761
chr1,40887591,40888037,40887814.0,-,27551,0.31530082
chr1,40887591,40888037,40887814.0,+,27551,0.31530082
chr1,41001599,41001917,41001758.0,+,28007,0.30732092
chr1,41058301,41058650,41058475.5,-,28233,0.101428516
chr1,41105451,41105800,41105625.5,+,28422,0.44837657
chr1,41152592,41152896,41152744.0,+,28610,0.2577266
chr1,41264238,41264588,41264413.0,+,29057,0.3828829
chr1,41264238,41264588,41264413.0,-,29057,0.3828829
chr1,41386444,41386838,41386641.0,+,29546,0.57983613
chr1,41810355,41810660,41810507.5,+,31242,0.13235666
chr1,42160765,42161143,42160954.0,+,32643,0.3044357
chr1,42238408,42238745,42238576.5,-,32954,0.4790579
chr1,42684676,42685210,42684943.0,+,34739,0.23319116
chr1,42691222,42691578,42691400.0,-,34765,0.21297638
chr1,42714539,42714884,42714711.5,-,34858,0.00946008
chr1,42714539,42714884,42714711.5,-,34858,0.00946008
chr1,42718600,42718889,42718744.5,-,34874,0.08087906
chr1,42856090,42856767,42856428.5,+,35425,0.21160865
chr1,42856090,42856767,42856428.5,-,35425,0.21160865
chr1,42915044,42915401,42915222.5,+,35660,0.43172747
chr1,43065879,43066320,43066099.5,-,36264,0.20812967
chr1,43110556,43110984,43110770.0,-,36443,0.73232853
chr1,43112919,43113265,43113092.0,+,36452,0.4452455
chr1,43138170,43138685,43138427.5,+,36553,0.38843265
chr1,43139562,43140037,43139799.5,+,36559,0.7543247
chr1,43264382,43264782,43264582.0,-,37058,0.22127643
chr1,43269693,43270048,43269870.5,-,37079,0.5015408
chr1,43299473,43299810,43299641.5,+,37198,0.39880452
chr1,43635756,43636069,43635912.5,-,38543,0.5314274
chr1,43635756,43636069,43635912.5,+,38543,0.5314274
chr1,43732075,43732454,43732264.5,+,38929,0.13607498
chr1,43732075,43732454,43732264.5,+,38929,0.13607498
chr1,43738188,43738540,43738364.0,-,38953,0.25476655
chr1,43760145,43760509,43760327.0,+,39041,0.33717892
chr1,43762617,43762972,43762794.5,-,39051,0.16323657
chr1,43898949,43899413,43899181.0,+,39596,0.28889772
chr1,43902827,43903164,43902995.5,+,39611,0.26899076
